country;latitude;longitude;time;weather_code;temperature_2m_max;temperature_2m_min;apparent_temperature_max;apparent_temperature_min;sunrise;sunset;daylight_duration;sunshine_duration;uv_index_max;uv_index_clear_sky_max;precipitation_hours;wind_speed_10m_max;wind_gusts_10m_max;precipitation_sum;rain_sum;showers_sum;snowfall_sum
Libya;26.3;17.2;2025-02-03;3;20.4;11.9;15.0;8.1;2025-02-03T10:34:00+03:00;2025-02-03T21:35:00+03:00;39655.98;34958.39;4.8;5.1;0.0;22.6;33.8;0.0;0.0;0.0;0.0
Morocco;31.81;-7.06;2025-02-02;3;16.2;3.1;12.9;-0.5;2025-02-02T11:20:00+03:00;2025-02-02T22:03:00+03:00;38557.5;35545.86;4.65;4.65;0.0;10.3;23.0;0.0;0.0;0.0;0.0
Monaco;43.76;7.42;2025-01-30;63;8.1;7.1;5.5;3.8;2025-01-30T10:48:00+03:00;2025-01-30T20:38:00+03:00;35352.59;0.0;0.35;2.5;16.0;16.3;46.1;35.0;34.0;0.9;0.0
Moldova;47.44;28.38;2025-01-30;45;8.6;3.3;6.5;1.5;2025-01-30T10:34:00+03:00;2025-01-30T20:04:00+03:00;34190.14;2078.6;2.1;2.3;0.0;9.2;18.4;0.0;0.0;0.0;0.0
Moldova;47.44;28.38;2025-02-02;71;3.8;1.4;0.8;-1.4;2025-02-02T10:30:00+03:00;2025-02-02T20:09:00+03:00;34702.5;0.0;2.4;2.4;12.0;9.0;18.0;1.5;1.5;0.0;0.0
Montenegro;42.75;19.38;2025-01-30;63;15.1;7.9;13.7;5.7;2025-01-30T09:58:00+03:00;2025-01-30T19:52:00+03:00;35643.2;28543.21;2.8;2.8;8.0;7.6;24.5;12.7;12.6;0.3;0.0
Montenegro;42.75;19.38;2025-02-01;3;14.7;4.4;12.8;1.8;2025-02-01T09:56:00+03:00;2025-02-01T19:55:00+03:00;35926.39;31670.62;2.25;3.0;0.0;4.9;11.5;0.0;0.0;0.0;0.0
Madagascar;-18.75;46.88;2025-01-30;45;27.3;18.1;28.4;20.7;2025-01-30T08:37:00+03:00;2025-01-30T21:34:00+03:00;46605.86;43200.0;9.45;10.1;5.0;19.7;36.4;0.6;0.0;0.6;0.0
Marshall Islands;7.12;171.12;2025-02-01;80;28.4;27.1;29.7;27.5;2025-02-01T09:54:00+03:00;2025-02-01T21:43:00+03:00;42563.91;40033.12;8.6;8.6;6.0;34.3;46.1;0.8;0.0;0.8;0.0
Marshall Islands;7.12;171.12;2025-02-02;80;27.1;26.8;28.9;28.3;2025-02-02T09:54:00+03:00;2025-02-02T21:43:00+03:00;42582.2;38357.17;8.6;8.6;24.0;35.1;47.9;10.8;0.0;10.8;0.0
Marshall Islands;7.12;171.12;2025-02-04;80;28.0;27.3;29.7;28.0;2025-02-04T09:54:00+03:00;2025-02-04T21:44:00+03:00;42619.71;39052.26;8.25;8.25;11.0;39.4;54.0;4.2;0.0;4.2;0.0
Macedonia [FYROM];41.62;21.75;2025-01-29;80;12.6;4.6;11.7;2.2;2025-01-29T09:47:00+03:00;2025-01-29T19:44:00+03:00;35823.34;18091.0;3.15;3.2;6.0;8.8;17.3;4.4;2.9;1.4;0.0
Mali;17.62;-4.0;2025-02-03;0;24.8;13.5;20.1;8.1;2025-02-03T09:47:00+03:00;2025-02-03T21:11:00+03:00;41068.62;38849.23;6.2;6.2;0.0;22.9;38.5;0.0;0.0;0.0;0.0
Myanmar [Burma];21.88;96.0;2025-02-01;1;31.3;17.2;32.0;17.4;2025-02-01T09:43:00+03:00;2025-02-01T20:55:00+03:00;40261.52;37530.17;6.5;6.55;0.0;4.4;9.4;0.0;0.0;0.0;0.0
Myanmar [Burma];21.88;96.0;2025-02-02;1;31.8;17.8;32.6;19.1;2025-02-02T09:43:00+03:00;2025-02-02T20:55:00+03:00;40322.22;37595.74;6.6;6.65;0.0;3.1;9.7;0.0;0.0;0.0;0.0
Northern Mariana Islands;17.38;145.38;2025-02-02;2;27.9;26.9;28.5;26.6;2025-02-02T09:50:00+03:00;2025-02-02T21:14:00+03:00;41039.06;38571.46;7.0;7.45;0.0;38.8;53.6;0.0;0.0;0.0;0.0
Northern Mariana Islands;17.38;145.38;2025-02-04;2;28.1;27.7;32.4;30.4;2025-02-04T09:49:00+03:00;2025-02-04T21:15:00+03:00;41135.23;38697.91;7.0;7.0;6.0;23.5;31.0;0.6;0.0;0.6;0.0
Mauritania;21.0;-10.9;2025-02-01;0;21.9;13.2;18.5;8.4;2025-02-01T10:20:00+03:00;2025-02-01T21:34:00+03:00;40423.78;36000.0;5.9;5.9;0.0;28.1;41.0;0.0;0.0;0.0;0.0
Mauritania;21.0;-10.9;2025-02-02;0;20.2;10.1;15.2;5.8;2025-02-02T10:19:00+03:00;2025-02-02T21:34:00+03:00;40482.02;37776.7;6.05;6.05;0.0;22.7;35.6;0.0;0.0;0.0;0.0
