Origin;Transport Mode;Indicator;Footnoote;Missing value notes;Value
Dominican Republic;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.46
Dominican Republic;Air;Perunit_freight_rate_USkg_Value;Experimental;;6.935
Ecuador;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.072
El Salvador;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.002
Equatorial Guinea;Sea;Perunit_freight_rate_USkg_Value;Experimental;;1.6
Estonia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.038
Estonia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.003
Estonia;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Eswatini;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.234
Eswatini;Air;Perunit_freight_rate_USkg_Value;Experimental;;7.556
Eswatini;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.066
Ethiopia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.02
Ethiopia;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Faroe Islands;All modes;Perunit_freight_rate_USkg_Value;Experimental;;11.868
France;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.251
France;Air;Perunit_freight_rate_USkg_Value;Experimental;;5.268
French Southern Territories;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Gabon;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.056
Gabon;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.181
Gabon;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.008
Gambia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;3.61
Gambia;Road;Perunit_freight_rate_USkg_Value;Experimental;;1.369
Georgia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.045
Georgia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.067
Germany;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.62
Ghana;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.066
Ghana;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.204
Gibraltar;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.371
Greece;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.04
Greece;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.03
Greenland;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.153
Grenada;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Guinea-Bissau;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Guyana;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.159
Haiti;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.318
Haiti;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Holy See;Non-identified mode;Perunit_freight_rate_USkg_Value;Experimental;;17.683
Honduras;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.208
Hungary;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.147
Iceland;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
India;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.082
India;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Indonesia;Air;Perunit_freight_rate_USkg_Value;Experimental;;3.034
Indonesia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.186
Ireland;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.409
Ireland;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.161
Italy;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.267
Italy;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.263
Jamaica;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.62
Japan;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.776
Jordan;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.019
Kenya;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.203
Kenya;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.815
Kenya;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.188
Kenya;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.119
Kenya;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Korea, Republic of;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.397
Korea, Republic of;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.059
Korea, Republic of;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.069
Korea, Republic of;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Kuwait;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Kyrgyzstan;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Lao People's Dem. Rep.;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.096
Lao People's Dem. Rep.;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.015
Latvia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.014
Latvia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.001
Lebanon;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.058
Lebanon;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Liberia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.983
Liberia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.125
Libya;Air;Perunit_freight_rate_USkg_Value;Experimental;;3.074
Libya;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Lithuania;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.86
Lithuania;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.01
Lithuania;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Luxembourg;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.591
Malawi;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.093
Malawi;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.01
Malaysia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.119
Malaysia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.061
Mali;Sea;Perunit_freight_rate_USkg_Value;Experimental;;8.494
Malta;Air;Perunit_freight_rate_USkg_Value;Experimental;;4.12
Mauritania;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.06
Mauritania;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.149
Mauritius;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;1.883
Mexico;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.536
Mexico;Air;Perunit_freight_rate_USkg_Value;Experimental;;5.663
Micronesia (Federated States of);All modes;Perunit_freight_rate_USkg_Value;Experimental;;4.564
Micronesia (Federated States of);Sea;Perunit_freight_rate_USkg_Value;Experimental;;4.128
Moldova, Republic of;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.001
Mongolia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.729
Mongolia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;1.882
Mongolia;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Montenegro;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;5.164
Morocco;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.106
Myanmar;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.203
Myanmar;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.153
Myanmar;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.142
Namibia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.054
Namibia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.022
Nauru;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.958
Nepal;All modes;Perunit_freight_rate_USkg_Value;Experimental;;2.718
Nepal;Railway;Perunit_freight_rate_USkg_Value;Experimental;;1.819
Nepal;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Netherlands (Kingdom of the);Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.08
Netherlands (Kingdom of the);Road;Perunit_freight_rate_USkg_Value;Experimental;;0.067
New Caledonia;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;1.42
New Caledonia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.704
Nicaragua;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.579
Niger;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.6
Niger;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.414
Nigeria;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.05
Nigeria;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.011
Nigeria;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Norfolk Island;All modes;Perunit_freight_rate_USkg_Value;Experimental;;1.244
Norfolk Island;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
North Macedonia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.481
North Macedonia;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.766
North Macedonia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;1.638
North Macedonia;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Norway;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.462
Norway;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.399
Norway;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Oman;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.028
Oman;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.027
Oman;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Palau;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;16.031
Palau;Air;Perunit_freight_rate_USkg_Value;Experimental;;25.413
Palau;Sea;Perunit_freight_rate_USkg_Value;Experimental;;29.327
Palau;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Panama;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.967
Panama;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.358
Panama;Sea;Perunit_freight_rate_USkg_Value;Experimental;;4.135
Panama;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Papua New Guinea;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.366
Papua New Guinea;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.355
Paraguay;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.114
Peru;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.425
Philippines;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.152
Philippines;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.203
Philippines;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.13
Poland;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Portugal;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.151
Portugal;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.37
Qatar;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.059
Qatar;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.075
Qatar;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.006
Romania;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.506
Russian Federation;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.144
Russian Federation;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.005
Rwanda;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.063
Rwanda;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.694
Rwanda;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.008
Saint Lucia;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;4.635
Saint Lucia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;4.618
Samoa;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.966
Samoa;Air;Perunit_freight_rate_USkg_Value;Experimental;;8.528
San Marino;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.143
San Marino;Air;Perunit_freight_rate_USkg_Value;Experimental;;5.356
Sao Tome and Principe;All modes;Perunit_freight_rate_USkg_Value;Experimental;;10.844
Sao Tome and Principe;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Senegal;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.88
Senegal;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.112
Seychelles;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.095
Seychelles;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Sierra Leone;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.094
Singapore;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.153
Slovenia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.222
Slovenia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.014
Slovenia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.063
Solomon Islands;Sea;Perunit_freight_rate_USkg_Value;Experimental;;6.089
Somalia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;1.455
Somalia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.008
South Africa;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.093
South Africa;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.021
South Georgia and South Sandwich Islands;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Spain;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.279
Spain;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.09
Spain;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.204
Sri Lanka;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.25
Sri Lanka;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.065
State of Palestine;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.074
Sudan;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.801
Sudan;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.008
Suriname;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Switzerland, Liechtenstein;Air;Perunit_freight_rate_USkg_Value;Experimental;;22.737
Syrian Arab Republic;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.085
Syrian Arab Republic;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.013
Tajikistan;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Tanzania, United Republic of;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.193
Tanzania, United Republic of;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.14
Tanzania, United Republic of;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.066
Thailand;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.412
Thailand;Air;Perunit_freight_rate_USkg_Value;Experimental;;4.138
Timor-Leste;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;1.48
Togo;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.002
Tokelau;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Trinidad and Tobago;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.157
Tunisia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.189
Tunisia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.185
Turkiye;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.759
Turkiye;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.022
Turkmenistan;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.151
Uganda;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.16
Uganda;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Ukraine;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.054
Ukraine;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.005
United Arab Emirates;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.073
United Arab Emirates;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.516
United Kingdom;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.661
United Kingdom;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.814
United Kingdom;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
United States of America;Air;Perunit_freight_rate_USkg_Value;Experimental;;6.979
United States of America;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.226
Uruguay;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.132
Uzbekistan;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.009
Venezuela (Bolivarian Rep. of);Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.076
Venezuela (Bolivarian Rep. of);Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Viet Nam;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.184
Viet Nam;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Western Sahara;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.476
Western Sahara;Air;Perunit_freight_rate_USkg_Value;Experimental;;12.976
Western Sahara;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Yemen;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.211
Zimbabwe;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.185
World;Non-identified mode;Perunit_freight_rate_USkg_Value;Experimental;;0.28
Africa;Non-identified mode;Perunit_freight_rate_USkg_Value;Experimental;;0.255
Northern Africa;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.066
Sub-Saharan Africa;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.018
Eastern Africa;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.525
Middle Africa;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.357
Southern Africa;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Western Africa;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.064
Western Africa;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.007
Americas;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.175
Northern America;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.211
Latin America and the Caribbean;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.062
Caribbean;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.233
Caribbean;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.068
Central America;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.829
Central America;Air;Perunit_freight_rate_USkg_Value;Experimental;;5.576
Central America;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
South America;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.057
South America;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.048
Asia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.144
Asia;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.255
Eastern Asia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.33
South-eastern Asia;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.166
South-eastern Asia;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.953
Southern Asia;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.883
Southern Asia;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.093
Europe;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.124
Europe;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.121
Europe;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.729
Southern Europe;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.143
Southern Europe;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Western Europe;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.327
Oceania;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.037
Oceania;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.083
Asia and Oceania;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.04
Northern America and Europe;Air;Perunit_freight_rate_USkg_Value;Experimental;;3.832
Europe, Northern America, Australia and New Zealand;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.136
Europe, Northern America, Australia and New Zealand;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.036
Europe, Northern America, Australia and New Zealand;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.035
Central and Southern Asia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.075
Eastern and South-Eastern Asia;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.279
Eastern and South-Eastern Asia;Air;Perunit_freight_rate_USkg_Value;Experimental;;2.763
Eastern and South-Eastern Asia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.057
Western Asia and Northern Africa;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.061
Developing economies;Air;Perunit_freight_rate_USkg_Value;Experimental;;1.826
Developing economies: Africa;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.11
Developing economies: Africa;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.075
Developing economies: Americas;Non-identified mode;Perunit_freight_rate_USkg_Value;Experimental;;0.392
Developing economies: Americas;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.076
Developing economies: Americas;Multimodal adjustment;Perunit_freight_rate_USkg_Value;;Not available or not separately reported;
Developing economies: Asia and Oceania;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.125
Developing economies: Asia and Oceania;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.05
Developing economies: Asia;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.125
Developing economies: Asia;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.039
Developing economies: Asia;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.05
Developing economies: Oceania;Non-identified mode;Perunit_freight_rate_USkg_Value;Experimental;;239.866
Developed economies;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.154
Developed economies;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.037
Developed economies: Americas;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.23
Developed economies: Asia and Oceania;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.126
Developed economies: Asia and Oceania;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.059
Developed economies: Oceania;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.025
Developed economies: Oceania;Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.032
Developing economies excluding China;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.08
Developing economies excluding China;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Developing economies excluding LDCs;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.048
Developing economies excluding LDCs;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
LDCs (Least developed countries);Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.017
LDCs: Africa;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.548
LDCs: Africa;Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.007
LDCs: Asia;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
LDCs: Islands and Haiti;Other modes;Perunit_freight_rate_USkg_Value;Experimental;;1.077
LDCs: Islands and Haiti;Sea;Perunit_freight_rate_USkg_Value;Experimental;;1.266
SIDS (Small island developing States) (UN-OHRLLS);Air;Perunit_freight_rate_USkg_Value;Experimental;;1.74
SIDS: Atlantic and Indian Ocean;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.035
SIDS: Atlantic and Indian Ocean;Air;Perunit_freight_rate_USkg_Value;Experimental;;0.892
SIDS: Caribbean;All modes;Perunit_freight_rate_USkg_Value;Experimental;;0.075
Low-income developing economies;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.225
Low-income developing economies;Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Middle-income developing economies;Road;Perunit_freight_rate_USkg_Value;Experimental;;0.029
BRICS;Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.161
European Union (2020 â€¦);Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
G20 (Group of Twenty);Air;Perunit_freight_rate_USkg_Value;Experimental;;3.042
G20 (Group of Twenty);Sea;Perunit_freight_rate_USkg_Value;Experimental;;0.151
G20 (Group of Twenty);Road;Perunit_freight_rate_USkg_Value;Experimental;;0.049
G-77 (Group of 77);Other modes;Perunit_freight_rate_USkg_Value;Experimental;;0.149
G-77 (Group of 77);Subtotal: air, sea, rail, road;Perunit_freight_rate_USkg_Value;Experimental;;0.108
G-77 (Group of 77);Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.037
OECD (Organisation for Economic Cooperation and Development);Railway;Perunit_freight_rate_USkg_Value;Experimental;;0.047
OECD (Organisation for Economic Cooperation and Development);Road;Perunit_freight_rate_USkg_Value;Experimental;;0.047
OECD (Organisation for Economic Cooperation and Development);Multimodal adjustment;Perunit_freight_rate_USkg_Value;Experimental;;0.0
Afghanistan;All modes;Transport_work_in_tonkm_Value;Experimental;;20091025.16
Afghanistan;Sea;Transport_work_in_tonkm_Value;Experimental;;2116675.69
Afghanistan;Multimodal adjustment;Transport_work_in_tonkm_Value;Absolute zero;;0.0
Albania;All modes;Transport_work_in_tonkm_Value;Experimental;;13484945.42
Albania;Subtotal: air, sea, rail, road;Transport_work_in_tonkm_Value;Experimental;;13484945.42
American Samoa;All modes;Transport_work_in_tonkm_Value;Experimental;;59846.21
Andorra;Subtotal: air, sea, rail, road;Transport_work_in_tonkm_Value;Experimental;;42538.6
Andorra;Road;Transport_work_in_tonkm_Value;Experimental;;23828.78
Andorra;Multimodal adjustment;Transport_work_in_tonkm_Value;Absolute zero;;0.0
Angola;Road;Transport_work_in_tonkm_Value;Experimental;;168903.87
Argentina;Air;Transport_work_in_tonkm_Value;Experimental;;102638652.16
Aruba;All modes;Transport_work_in_tonkm_Value;Experimental;;5630175.81
Aruba;Sea;Transport_work_in_tonkm_Value;Experimental;;5630175.81
Australia;Other modes;Transport_work_in_tonkm_Value;;Not available or not separately reported;
Australia;Air;Transport_work_in_tonkm_Value;Experimental;;132540745.92
Australia;Sea;Transport_work_in_tonkm_Value;Experimental;;47676818533.12
Austria;All modes;Transport_work_in_tonkm_Value;Experimental;;975827996.8
Austria;Sea;Transport_work_in_tonkm_Value;Experimental;;327261851.54
